pais,continente,region,poblacion,PIB
Peru,Americas,Latin America and the Caribbean,28302603,5100.0
Philippines,Asia,South-eastern Asia,89468677,4600.0
Poland,Europe,Eastern Europe,38536869,11100.0
Portugal,Europe,Southern Europe,10605870,18000.0
Puerto Rico,Americas,Latin America and the Caribbean,3927188,16800.0
Qatar,Asia,Western Asia,885359,21500.0
Romania,Europe,Eastern Europe,22303552,7000.0
Russia,Europe,Eastern Europe,142893540,8900.0
Rwanda,Africa,Sub-Saharan Africa,8648248,1300.0
Saint Lucia,Americas,Latin America and the Caribbean,168458,5400.0
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,117848,2900.0
Samoa,Oceania,Polynesia,176908,5600.0
San Marino,Europe,Southern Europe,29251,34600.0
Saudi Arabia,Asia,Western Asia,27019731,11800.0
Senegal,Africa,Sub-Saharan Africa,11987121,1600.0
Serbia,Europe,Southern Europe,9396411,2200.0
Seychelles,Africa,Sub-Saharan Africa,81541,7800.0
Sierra Leone,Africa,Sub-Saharan Africa,6005250,500.0
Singapore,Asia,South-eastern Asia,4492150,23700.0
Slovakia,Europe,Eastern Europe,5439448,13300.0
Slovenia,Europe,Southern Europe,2010347,19000.0
Solomon Islands,Oceania,Melanesia,552438,1700.0
Somalia,Africa,Sub-Saharan Africa,8863338,500.0
South Africa,Africa,Sub-Saharan Africa,44187637,10700.0
Spain,Europe,Southern Europe,40397842,22000.0
Sri Lanka,Asia,Southern Asia,20222240,3700.0
Sudan,Africa,Northern Africa,41236378,1900.0
Suriname,Americas,Latin America and the Caribbean,439117,4000.0
Sweden,Europe,Northern Europe,9016596,26800.0
Switzerland,Europe,Western Europe,7523934,32700.0
Syria,Asia,Western Asia,18881361,3300.0
Taiwan,Asia,Eastern Asia,23036087,23400.0
Tajikistan,Asia,Central Asia,7320815,1000.0
Tanzania,Africa,Sub-Saharan Africa,37445392,600.0
Thailand,Asia,South-eastern Asia,64631595,7400.0
Togo,Africa,Sub-Saharan Africa,5548702,1500.0
Tonga,Oceania,Polynesia,114689,2200.0
Tunisia,Africa,Northern Africa,10175014,6900.0
Turkey,Asia,Western Asia,70413958,6700.0
Turkmenistan,Asia,Central Asia,5042920,5800.0
Tuvalu,Oceania,Polynesia,11810,1100.0
Uganda,Africa,Sub-Saharan Africa,28195754,1400.0
Ukraine,Europe,Eastern Europe,46710816,5400.0
United Arab Emirates,Asia,Western Asia,2602713,23200.0
United Kingdom,Europe,Northern Europe,60609153,27700.0
United States,Americas,Northern America,298444215,37800.0
Uruguay,Americas,Latin America and the Caribbean,3431932,12800.0
Uzbekistan,Asia,Central Asia,27307134,1700.0
Vanuatu,Oceania,Melanesia,208869,2900.0
Venezuela,Americas,Latin America and the Caribbean,25730435,4800.0
Vietnam,Asia,South-eastern Asia,84402966,2500.0
Wallis and Futuna,Oceania,Polynesia,16025,3700.0
Yemen,Asia,Western Asia,21456188,800.0
Zambia,Africa,Sub-Saharan Africa,11502010,800.0
Zimbabwe,Africa,Sub-Saharan Africa,12236805,1900.0
