time,value
2025-11-28 23:09:08,39.3
2025-11-28 23:29:08,39.4
2025-11-28 23:49:08,39.3
2025-11-29 00:29:07,39.4
2025-11-29 00:49:07,39.3
2025-11-29 01:09:07,39.4
2025-11-29 03:09:05,39.3
2025-11-29 03:29:05,39.4
2025-11-29 09:29:01,39.5
2025-11-29 10:29:00,39.6
2025-11-29 11:09:00,39.7
2025-11-29 11:48:59,39.8
2025-11-29 12:48:59,39.9
2025-11-29 13:48:58,40.0
2025-11-29 14:28:57,40.1
2025-11-29 15:28:57,40.2
2025-11-29 16:08:56,40.3
2025-11-29 16:28:56,40.4
2025-11-29 16:48:56,40.5
2025-11-29 17:48:55,40.6
2025-11-29 18:28:54,40.7
2025-11-29 19:08:54,40.8
2025-11-29 20:28:53,40.9
2025-11-29 22:28:52,41.0
2025-11-29 23:48:51,41.1
2025-11-30 00:48:50,41.2
2025-11-30 01:28:49,41.3
2025-11-30 02:48:49,41.4
2025-11-30 03:08:48,41.5
2025-11-30 03:28:48,41.6
2025-11-30 04:08:48,41.7
2025-11-30 04:48:47,41.8
2025-11-30 05:48:46,41.9
2025-11-30 06:48:46,42.0
2025-11-30 07:28:45,42.1
2025-11-30 07:48:45,42.2
2025-11-30 08:48:44,42.3
2025-11-30 10:48:43,42.4
2025-11-30 12:48:41,42.5
2025-11-30 13:48:41,42.6
2025-11-30 15:28:39,42.7
2025-11-30 17:48:38,42.8
2025-11-30 21:08:35,42.7
2025-11-30 22:08:35,42.6
2025-12-01 00:08:33,42.5
2025-12-01 01:08:33,42.4
2025-12-01 01:48:32,42.5
2025-12-01 02:08:32,42.4
2025-12-01 03:28:31,42.3
2025-12-01 04:28:30,42.2
2025-12-01 04:48:30,42.3
2025-12-01 05:08:30,42.2
2025-12-01 05:48:29,42.1
2025-12-01 06:48:29,42.0
2025-12-01 07:08:28,41.9
2025-12-01 07:28:28,39.4
2025-12-01 07:48:28,39.3
2025-12-01 08:08:28,40.1
2025-12-01 08:28:27,39.8
2025-12-01 08:48:27,40.1
2025-12-01 09:08:27,40.5
2025-12-01 09:48:26,40.4
2025-12-01 10:08:26,40.6
2025-12-01 10:28:26,40.7
2025-12-01 10:48:26,41.5
2025-12-01 11:08:25,41.9
2025-12-01 11:28:25,42.5
2025-12-01 11:48:25,42.2
2025-12-01 12:08:25,42.0
2025-12-01 12:28:24,42.6
2025-12-01 12:48:24,42.5
2025-12-01 13:08:24,42.2
2025-12-01 13:48:24,42.1
2025-12-01 14:08:23,42.2
2025-12-01 16:08:22,42.3
2025-12-01 16:28:22,42.4
2025-12-01 17:08:21,42.5
2025-12-01 18:08:20,42.6
2025-12-01 18:48:20,42.5
2025-12-01 20:08:19,42.4
2025-12-01 21:28:18,42.3
2025-12-01 22:28:17,42.4
2025-12-02 00:08:16,42.5
2025-12-02 01:08:15,42.6
2025-12-02 03:28:14,42.7
2025-12-02 04:08:13,42.6
2025-12-02 06:28:12,42.7
2025-12-02 06:48:11,42.8
2025-12-02 07:08:11,42.9
2025-12-02 07:28:11,44.4
2025-12-02 07:48:11,45.4
2025-12-02 08:08:10,45.8
2025-12-02 08:28:10,46.2
2025-12-02 08:48:10,47.1
2025-12-02 09:08:10,46.2
2025-12-02 09:28:10,45.7
2025-12-02 09:48:09,46.3
2025-12-02 10:08:09,47.1
2025-12-02 10:28:09,48.0
2025-12-02 10:48:09,47.2
2025-12-02 11:08:08,46.5
2025-12-02 11:28:08,45.9
2025-12-02 11:48:08,45.6
2025-12-02 12:08:08,45.3
2025-12-02 12:28:07,45.1
2025-12-02 12:48:07,45.0
2025-12-02 13:08:07,44.8
2025-12-02 14:48:06,44.9
2025-12-02 15:08:05,44.8
2025-12-02 15:28:05,44.7
2025-12-02 15:48:05,44.6
2025-12-02 16:08:05,44.5
2025-12-02 16:48:04,44.4
2025-12-02 17:08:04,44.5
2025-12-02 17:28:04,44.4
2025-12-02 17:48:04,44.3
2025-12-02 18:08:03,44.2
2025-12-02 18:28:03,43.9
2025-12-02 18:48:03,44.0
2025-12-02 19:08:03,43.9
2025-12-02 21:08:01,43.8
2025-12-02 22:28:00,43.7
2025-12-02 23:27:59,43.6
2025-12-03 01:27:58,43.5
2025-12-03 02:47:57,43.4
2025-12-03 04:47:56,43.3
2025-12-03 06:07:55,43.2
2025-12-03 07:07:54,43.0
2025-12-03 07:27:54,42.4
2025-12-03 07:47:54,42.5
2025-12-03 08:07:53,42.4
2025-12-03 08:27:53,40.9
2025-12-03 08:47:53,41.6
2025-12-03 09:07:53,41.8
2025-12-03 09:27:52,39.5
2025-12-03 09:47:52,39.4
2025-12-03 10:07:52,39.8
2025-12-03 10:27:52,40.3
2025-12-03 10:47:51,40.4
2025-12-03 11:07:51,39.5
2025-12-03 11:27:51,39.3
2025-12-03 11:47:51,39.8
2025-12-03 12:07:50,40.1
2025-12-03 12:27:50,40.3
2025-12-03 12:47:50,40.4
2025-12-03 13:27:49,40.5
2025-12-03 13:47:49,40.6
2025-12-03 14:07:49,40.7
2025-12-03 14:27:49,40.8
2025-12-03 14:47:49,41.0
2025-12-03 15:47:48,41.1
2025-12-03 16:07:48,41.2
2025-12-03 16:47:47,41.3
2025-12-03 17:47:46,41.4
2025-12-03 18:27:46,41.5
